"Official.Name","n","LONGITUDE","LATITUDE","College.Univ","X","X.1","Player","Year","Rnd","Pos"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Sammie Coates",2015,3,"WR"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Zach Clayton",2011,7,"DT"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Jason Campbell",2005,1,"QB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Ronnie Brown",2005,1,"RB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Angelo Blackson",2015,4,"DT"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Cameron Artis-Payne",2015,5,"RB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Devin Aromashodu",2006,7,"WR"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Kenny Irons",2007,2,"RB"
"Augustana College",1,"-90.552402","41.500326","Augustana (SD)",NA,"https://upload.wikimedia.org/wikipedia/en/7/7d/AugustanaVikings.png",NA,NA,NA,NA
"Austin Peay State University",1,"-87.354081","36.533319","Austin Peay St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Austin_Peay_Athletics_logo.svg/200px-Austin_Peay_Athletics_logo.svg.png",NA,NA,NA,NA
"Azusa Pacific University",1,"-117.88795","34.130865","Azusa Pacific",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Azusa_Pacific_Cougars_logo.svg/150px-Azusa_Pacific_Cougars_logo.svg.png",NA,NA,NA,NA
"Ball State University",8,"-85.408863","40.198942","Ball St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ball_State_Athletics_wordmark.png/200px-Ball_State_Athletics_wordmark.png","Keith Wenning",2014,6,"QB"
"Ball State University",8,"-85.408863","40.198942","Ball St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ball_State_Athletics_wordmark.png/200px-Ball_State_Athletics_wordmark.png","Dante Ridgeway",2005,6,"WR"
"Ball State University",8,"-85.408863","40.198942","Ball St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ball_State_Athletics_wordmark.png/200px-Ball_State_Athletics_wordmark.png","Jonathan Newsome",2014,5,"LB"
"Ball State University",8,"-85.408863","40.198942","Ball St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ball_State_Athletics_wordmark.png/200px-Ball_State_Athletics_wordmark.png","Reggie Hodges",2005,6,"P"
"Ball State University",8,"-85.408863","40.198942","Ball St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ball_State_Athletics_wordmark.png/200px-Ball_State_Athletics_wordmark.png","Justin Beriault",2005,6,"DB"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Kendall Wright",2012,1,"WR"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","C.J. Wilson",2007,7,"DB"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Terrance Williams",2013,3,"WR"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Danny Watkins",2011,1,"G"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","J.D. Walton",2010,3,"C"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Phil Taylor",2011,1,"DT"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Daniel Sepulveda",2007,4,"P"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Lache Seastrunk",2014,6,"RB"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Cyril Richardson",2014,5,"G"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Tevin Reese",2014,7,"WR"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Bryce Petty",2015,4,"QB"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Khari Long",2005,6,"DE"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Bryce Hager",2015,7,"ILB"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Robert Griffin",2012,6,"OL"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Robert Griffin",2012,1,"QB"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","Demetri Goodson",2014,6,"DB"
"Baylor University",56,"-97.119359","31.545956","Baylor",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png","David Gettis",2010,6,"WR"
